City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,al kharijah,25.4514,30.5464,303.57,15,11,2.61,EG,1683628578
232,porto novo,6.4965,2.6036,304.05,55,93,4.11,BJ,1683628579
233,san luis de la loma,17.2706,-100.8939,300.15,65,49,1.49,MX,1683628579
234,ringkobing,56.0901,8.244,293.16,68,0,8.75,DK,1683628579
235,maloye ganyushkino,46.6,49.2667,294.02,37,76,8.26,KZ,1683628579
236,sao joao da barra,-21.6403,-41.0511,295.2,82,96,3.97,BR,1683628579
237,kabwe,-14.4469,28.4464,299.75,26,1,4.21,ZM,1683628580
238,ulsteinvik,62.3432,5.8487,288.65,80,100,2.41,NO,1683628580
239,port alfred,-33.5906,26.891,297.14,72,3,1.34,ZA,1683628580
240,mana,5.6592,-53.7767,299.3,87,94,4.33,GF,1683628580
241,siatista,40.2619,21.5442,285.03,92,100,1.65,GR,1683628580
242,abra pampa,-22.7205,-65.697,277.15,53,27,1.6,AR,1683628580
243,theodore,30.5477,-88.1753,295.59,94,75,0.0,US,1683628581
244,petropavlovsk-kamchatsky,53.0452,158.6483,275.48,65,75,6.0,RU,1683628581
245,lebu,-37.6167,-73.65,282.94,72,99,6.06,CL,1683628357
246,buka,40.8108,69.1986,302.53,17,0,2.93,UZ,1683628581
247,san luis,-33.295,-66.3356,284.64,60,22,2.5,AR,1683628304
248,paracuru,-3.41,-39.0306,299.55,84,41,4.07,BR,1683628582
249,kapa'a,22.0752,-159.319,296.33,86,75,7.2,US,1683628582
250,carauari,-4.8828,-66.8958,295.98,99,100,2.1,BR,1683628582
251,ambon,-3.6954,128.1814,300.23,83,40,7.2,ID,1683628582
252,el bordo,2.117,-76.9821,291.95,87,89,0.63,CO,1683628582
253,prineville,44.2999,-120.8345,279.11,97,100,2.06,US,1683628582
254,westport,41.1415,-73.3579,285.88,63,0,1.54,US,1683628568
255,westerburg,50.5667,7.9833,291.02,85,75,4.63,DE,1683628583
256,sabang,5.8933,95.3214,300.16,80,100,9.54,ID,1683628583
257,kharp,66.8014,65.8081,274.37,98,100,3.63,RU,1683628583
258,tolanaro,-25.0319,46.9987,300.19,69,40,7.72,MG,1683628584
259,fomboni,-12.28,43.7425,300.92,71,8,6.58,KM,1683628584
260,cabo san lucas,22.8909,-109.9124,295.11,54,55,6.83,MX,1683628584
261,bhabhua,25.05,83.6167,315.28,8,0,6.27,IN,1683628584
262,terrace,54.5163,-128.6035,280.1,70,0,4.12,CA,1683628584
263,port blair,11.6667,92.75,302.49,76,100,5.52,IN,1683628580
264,mata de sao joao,-12.5303,-38.2992,298.01,89,23,1.4,BR,1683628585
265,tarawa,1.419,172.984,300.2,89,20,1.54,KI,1683628585
266,estevan,49.1334,-102.9842,280.26,93,75,4.12,CA,1683628585
267,dunedin,-45.8742,170.5036,283.6,90,100,0.89,NZ,1683628585
268,hami,42.8,93.45,294.31,16,18,7.87,CN,1683628585
269,noumea,-22.2763,166.4572,298.15,99,96,4.17,NC,1683628318
270,borovskoy,53.8,64.15,286.33,23,100,4.12,KZ,1683628586
271,port mathurin,-19.6833,63.4167,298.9,73,43,8.78,MU,1683628586
272,bayganin,48.6947,55.8742,297.83,31,99,7.2,KZ,1683628586
273,ust'-ordynskiy,52.805,104.7508,292.76,37,100,1.94,RU,1683628586
274,kerikeri,-35.2268,173.9474,289.21,97,38,2.73,NZ,1683628587
275,yuzhno-sukhokumsk,44.6581,45.6436,293.16,45,42,4.89,RU,1683628587
276,rongelap,11.1635,166.8941,300.52,84,99,7.69,MH,1683628587
277,narvik,68.4384,17.4272,284.82,62,95,2.13,NO,1683628374
278,tanout,14.9709,8.8879,309.77,5,62,1.99,NE,1683628588
279,ino,33.55,133.4333,290.89,87,7,0.52,JP,1683628588
280,okha,53.5739,142.9478,273.1,94,100,5.15,RU,1683628588
281,ziro,27.6333,93.8333,291.56,83,52,0.63,IN,1683628588
282,am timan,11.0297,20.2827,313.16,20,79,3.58,TD,1683628588
283,beaune,47.0833,4.75,288.5,74,100,3.7,FR,1683628589
284,portland,45.5234,-122.6762,283.11,95,40,0.89,US,1683628750
285,semirara,12.0697,121.3986,302.71,75,61,2.18,PH,1683628589
286,laguna de perlas,12.3429,-83.6712,298.37,86,53,3.78,NI,1683628589
